timestamp,ver,AdSize,Country,AdType,Exchange,Impressions,Clicks,Bids_Lost,Bids_Failures
1512867600,AD200,Small,USA,Display,DoubleClick,6784.6904,22037.0945,2973.6278,2455.1668
1512871200,AD200,Small,USA,Display,DoubleClick,6839.1905,22505.3753,2940.1981,2473.1984
1512874800,AD200,Small,USA,Display,DoubleClick,6909.3346,22758.7071,3003.7753,2485.5029
1512878400,AD200,Small,USA,Display,DoubleClick,7158.9725,23112.5034,2966.8914,2590.7555
1512882000,AD200,Small,USA,Display,DoubleClick,7235.7574,23830.7055,2950.0345,2639.0802
1512885600,AD200,Small,USA,Display,DoubleClick,7176.2341,23979.5515,3086.7601,2666.9261
1512889200,AD200,Small,USA,Display,DoubleClick,7427.7744,24021.3573,2969.4343,2683.2993
1512892800,AD200,Small,USA,Display,DoubleClick,7568.5963,24228.0634,3047.8218,2792.0565
1512896400,AD200,Small,USA,Display,DoubleClick,7854.9466,24914.9754,3034.1817,2896.0142
1512900000,AD200,Small,USA,Display,DoubleClick,7685.0893,25691.9473,3032.0785,2804.6276
1512903600,AD200,Small,USA,Display,DoubleClick,8190.1471,26235.9172,3039.5636,2922.1375
1512907200,AD200,Small,USA,Display,DoubleClick,8174.4186,26519.2789,3008.4571,2962.5351
1512910800,AD200,Small,USA,Display,DoubleClick,8251.3537,26510.0694,2988.9787,2991.1468
1512914400,AD200,Small,USA,Display,DoubleClick,8235.2355,26214.9475,2971.7289,3001.4824
1512918000,AD200,Small,USA,Display,DoubleClick,8560.6376,28492.4386,2952.3625,3054.126
1512921600,AD200,Small,USA,Display,DoubleClick,8601.5124,27903.6543,2919.0743,3123.5492
1512925200,AD200,Small,USA,Display,DoubleClick,8660.7896,28312.3367,2931.2328,3152.202
1512928800,AD200,Small,USA,Display,DoubleClick,8807.5972,29344.3493,3053.0354,3166.4263
1512932400,AD200,Small,USA,Display,DoubleClick,9113.5024,29505.587,2858.8896,3235.0231
1512936000,AD200,Small,USA,Display,DoubleClick,8760.698,28436.1758,3070.7876,3123.592
1512939600,AD200,Small,USA,Display,DoubleClick,8552.7302,28413.9858,2949.8634,3106.4157
1512943200,AD200,Small,USA,Display,DoubleClick,8469.161,26838.0648,3100.4575,3046.0597
1512946800,AD200,Small,USA,Display,DoubleClick,7944.7307,26047.9227,3035.4339,2880.572
1512950400,AD200,Small,USA,Display,DoubleClick,7326.3079,24370.385,2936.6475,2795.7134
1512954000,AD200,Small,USA,Display,DoubleClick,7372.8602,24286.3084,3063.0838,2688.3424
1512957600,AD200,Small,USA,Display,DoubleClick,7256.2374,23025.8394,2933.7135,2562.6944
1512961200,AD200,Small,USA,Display,DoubleClick,7147.1672,23044.4281,3026.93,2555.573
1512964800,AD200,Small,USA,Display,DoubleClick,7043.3431,23138.9129,3000.9789,2509.8783
1512968400,AD200,Small,USA,Display,DoubleClick,7194.3033,23393.2933,3027.8936,2499.6273
1512972000,AD200,Small,USA,Display,DoubleClick,7147.5974,24773.3528,2965.5773,2623.8674
1512975600,AD200,Small,USA,Display,DoubleClick,7624.6301,24307.364,3087.3064,2790.6099
1512979200,AD200,Small,USA,Display,DoubleClick,7367.5697,24666.1558,3002.7815,2739.319
1512982800,AD200,Small,USA,Display,DoubleClick,7677.3786,25399.4791,3021.4295,2710.6204
1512986400,AD200,Small,USA,Display,DoubleClick,8027.1749,25604.6234,3023.4324,2796.0409
1512990000,AD200,Small,USA,Display,DoubleClick,7888.8251,25296.8126,3101.2923,2908.3742
1512993600,AD200,Small,USA,Display,DoubleClick,8050.3702,26401.6075,3035.1571,2891.0262
1512997200,AD200,Small,USA,Display,DoubleClick,7934.1496,26492.2798,2986.8142,3005.3151
1513000800,AD200,Small,USA,Display,DoubleClick,8357.3464,26974.8853,2924.1322,3070.9384
1513004400,AD200,Small,USA,Display,DoubleClick,8268.0081,27318.9641,2984.1127,2979.6626
1513008000,AD200,Small,USA,Display,DoubleClick,8597.5564,27915.8002,3011.6037,3102.9134
1513011600,AD200,Small,USA,Display,DoubleClick,8845.8362,28384.8014,2977.6728,3197.5521
1513015200,AD200,Small,USA,Display,DoubleClick,8842.518,28340.713,3066.142,3221.7393
1513018800,AD200,Small,USA,Display,DoubleClick,8865.5497,28946.8093,3002.3932,3263.279
1513022400,AD200,Small,USA,Display,DoubleClick,8810.9998,28261.6134,3029.997,3205.0602
1513026000,AD200,Small,USA,Display,DoubleClick,8645.3813,27961.9141,3075.4166,3040.2619
1513029600,AD200,Small,USA,Display,DoubleClick,8236.9905,27105.1883,3070.6946,3021.6303
1513033200,AD200,Small,USA,Display,DoubleClick,8048.1538,25505.4722,3061.605,2841.4829
1513036800,AD200,Small,USA,Display,DoubleClick,7556.3622,24534.9102,3006.6199,2784.7978
1513040400,AD200,Small,USA,Display,DoubleClick,7224.6304,23336.9406,2903.6347,2683.0757
1513044000,AD200,Small,USA,Display,DoubleClick,7144.1689,23369.8607,2880.8114,2641.1072
1513047600,AD200,Small,USA,Display,DoubleClick,7075.0127,22504.2467,2988.312,2522.7783
1513051200,AD200,Small,USA,Display,DoubleClick,7217.8785,23238.998,2971.8291,2606.2861
1513054800,AD200,Small,USA,Display,DoubleClick,7246.8306,23865.1926,2923.3418,2632.8131
1513058400,AD200,Small,USA,Display,DoubleClick,7218.269,23712.8455,2909.6571,2661.7528
1513062000,AD200,Small,USA,Display,DoubleClick,7230.0421,24264.8843,3038.3193,2678.1778
1513065600,AD200,Small,USA,Display,DoubleClick,7492.7639,25087.9457,2977.4797,2778.0583
1513069200,AD200,Small,USA,Display,DoubleClick,7655.6253,24925.3281,2964.7039,2820.6467
1513072800,AD200,Small,USA,Display,DoubleClick,7673.7439,25617.2692,2917.4317,2811.7174
1513076400,AD200,Small,USA,Display,DoubleClick,7898.5667,26279.4232,2906.9422,2889.6023
1513080000,AD200,Small,USA,Display,DoubleClick,8044.9731,26737.7038,3043.7795,2893.3598
1513083600,AD200,Small,USA,Display,DoubleClick,8419.6651,26400.8855,3034.6092,2947.1479
1513087200,AD200,Small,USA,Display,DoubleClick,8545.9217,26488.5666,3023.6759,3013.5445
1513090800,AD200,Small,USA,Display,DoubleClick,8382.371,28066.623,3065.4788,3070.8109
1513094400,AD200,Small,USA,Display,DoubleClick,8633.6433,28447.0971,2986.6267,3100.2055
1513098000,AD200,Small,USA,Display,DoubleClick,8733.1444,28585.5948,2965.0474,3175.3825
1513101600,AD200,Small,USA,Display,DoubleClick,9021.8548,28717.2871,3054.0406,3190.9546
1513105200,AD200,Small,USA,Display,DoubleClick,8900.9308,28427.7454,3032.5272,3168.413
1513108800,AD200,Small,USA,Display,DoubleClick,8873.5062,29189.9611,2962.2261,3268.0212
1513112400,AD200,Small,USA,Display,DoubleClick,8623.5649,28018.8913,2975.2458,3126.6468
1513116000,AD200,Small,USA,Display,DoubleClick,8286.5164,27106.8224,2991.5165,2989.1088
1513119600,AD200,Small,USA,Display,DoubleClick,7888.0211,25879.5069,3128.281,2871.4736
1513123200,AD200,Small,USA,Display,DoubleClick,7677.8164,24680.2567,2968.9276,2723.8374
1513126800,AD200,Small,USA,Display,DoubleClick,7282.4948,23853.5476,3051.2541,2627.837
1513130400,AD200,Small,USA,Display,DoubleClick,7130.717,23770.1731,3006.3555,2601.1147
1513134000,AD200,Small,USA,Display,DoubleClick,7318.5077,22807.6528,3080.7524,2597.3866
1513137600,AD200,Small,USA,Display,DoubleClick,7264.1665,22925.6341,2999.5272,2586.644
1513141200,AD200,Small,USA,Display,DoubleClick,7177.9616,23158.3398,3147.5235,2512.9659
1513144800,AD200,Small,USA,Display,DoubleClick,7224.3883,23707.0471,3000.0028,2675.411
1513148400,AD200,Small,USA,Display,DoubleClick,7376.7128,24567.8724,3068.4566,2656.0371
1513152000,AD200,Small,USA,Display,DoubleClick,7510.2454,25113.8769,2967.753,2665.8083
1513155600,AD200,Small,USA,Display,DoubleClick,7682.4016,25244.1962,3046.9224,2896.3181
1513159200,AD200,Small,USA,Display,DoubleClick,7844.2246,25580.7735,3067.0603,2835.3498
1513162800,AD200,Small,USA,Display,DoubleClick,7935.5162,25678.8357,2998.1617,2952.066
1513166400,AD200,Small,USA,Display,DoubleClick,8064.6339,26981.0246,2949.2081,2877.6546
1513170000,AD200,Small,USA,Display,DoubleClick,8308.8698,27656.729,3067.6159,2988.0425
1513173600,AD200,Small,USA,Display,DoubleClick,8257.8674,27518.9445,3078.2093,3082.1486
1513177200,AD200,Small,USA,Display,DoubleClick,8373.4116,28317.0061,2966.0687,3015.3938
1513180800,AD200,Small,USA,Display,DoubleClick,8695.439,27543.8908,3022.6142,3039.0312
