SalesChannel,WarehouseCode,OrderDate,ShipDate,DeliveryDate,SalesRegion,CustomerName,StoreLocation,ProductName,OrderQuantity,DiscountApplied,UnitPrice,UnitCost
In-Store,WARE-UHY1004,2018-05-31,2018-06-14,2018-06-19,Northeast,Rochester Ltd,New York,Dining Furniture,5,0.075,1963.1,1001.181
Online,WARE-NMK1003,2018-05-31,2018-06-22,2018-07-02,Midwest,Pacific Ltd,Kansas,Wreaths,3,0.075,3939.6,3348.66
Distributor,WARE-UHY1004,2018-05-31,2018-06-21,2018-07-01,Midwest,"3LAB, Ltd",Michigan,Stemware,1,0.05,1775.5,781.22
Wholesale,WARE-NMK1003,2018-05-31,2018-06-02,2018-06-07,West,"Fenwal, Corp",Connecticut,Accessories,8,0.075,2324.9,1464.687
Distributor,WARE-NMK1003,2018-05-31,2018-06-16,2018-06-26,Northeast,Bare ,Connecticut,Candles,8,0.1,1822.4,1476.144
Online,WARE-PUJ1005,2018-05-31,2018-06-08,2018-06-13,Midwest,Ohio ,Oklahoma,Cookware,5,0.05,1038.5,446.555
In-Store,WARE-XYS1001,2018-05-31,2018-06-08,2018-06-14,West,Linde ,Arizona,Bathroom Furniture,4,0.15,1192.6,536.67
In-Store,WARE-PUJ1005,2018-05-31,2018-06-26,2018-07-01,Northeast,Ei ,Ohio,Sculptures,5,0.05,1815.7,1525.188
In-Store,WARE-PUJ1005,2018-06-01,2018-06-16,2018-06-21,Northeast,Ei ,South Carolina,Audio,4,0.3,3879.3,2211.201
In-Store,WARE-UHY1004,2018-06-01,2018-06-29,2018-07-01,West,Trigen ,New York,Bakeware,8,0.05,1956.4,1212.968
Distributor,WARE-XYS1001,2018-06-01,2018-06-15,2018-06-20,Midwest,Ohio ,California,Wardrobes,6,0.1,201,124.62
In-Store,WARE-NMK1003,2018-06-01,2018-06-07,2018-06-17,West,Ohio ,Illinois,Rugs,5,0.15,6277.9,2762.276
